 fft_type  n_threads  n_points  n_iterations  Throughput  Stdev         
 fft       1          1000      100           811.477     10.976423074  
 fft       1          10000     100           721.9914    7.37590732046 
 fft       1          100000    100           374.8452    69.4053565923 
 fft       1          500000    100           275.3736    9.71001669926 
 fft       1          1000000   100           258.7178    12.8781228329 
 ifft      1          1000      100           814.2938    6.73991318193 
 ifft      1          10000     100           742.9084    18.7265314541 
 ifft      1          100000    100           372.2774    78.4605296872 
 ifft      1          500000    100           268.529     2.32708186362 
 ifft      1          1000000   100           252.5558    4.93018794774 
 irfft     1          1000      100           228.864     18.8336946588 
 irfft     1          10000     100           205.689     18.0804879082 
 irfft     1          100000    100           108.2686    2.09400532473 
 irfft     1          500000    100           90.3839     3.53957615189 
 irfft     1          1000000   100           136.9952    1.45308592313 
 rfft      1          1000      100           325.283     9.2409871226  
 rfft      1          10000     100           558.2238    62.2603471497 
 rfft      1          100000    100           431.2814    35.5367893781 
 rfft      1          500000    100           262.1606    19.7856509698 
 rfft      1          1000000   100           258.6182    7.53146414716 
